time,epoch_time,taxonomy,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact
960,1645469812,normal,a0f7db,41.30654545153602,-79.11847894841975,38.05842665246855,256.7151335150978,-0.97536,N16105  ,False,False,False,,1127.76,1127.76,1645469811.633,1645469811.974
961,1645469813,normal,a0f7db,41.306488037109375,-79.11871337890625,38.05842665246855,256.7151335150978,-0.97536,N16105  ,False,False,False,,1127.76,1127.76,1645469812.21,1645469812.21
962,1645469814,normal,a0f7db,41.30640579482256,-79.11922801624644,38.559285139717616,256.8907918018457,-0.32512,N16105  ,False,False,False,,1127.76,1127.76,1645469813.221,1645469813.446
963,1645469815,normal,a0f7db,41.30631269034693,-79.11985223943537,38.94854131039508,257.7995312726192,0.0,N16105  ,False,False,False,,1127.76,1127.76,1645469814.697,1645469814.697
964,1645469816,normal,a0f7db,41.30621958587129,-79.12028919566762,38.74415713961774,259.286876977209,0.32512,N16105  ,False,False,False,,1127.76,1127.76,1645469815.71,1645469815.71
965,1645469817,normal,a0f7db,41.30616760253906,-79.12078857421875,38.74415713961774,259.286876977209,0.32512,N16105  ,False,False,False,,1127.76,1127.76,1645469816.726,1645469816.726
966,1645469818,normal,a0f7db,41.30607604980469,-79.12127685546875,38.84307710138753,258.5412476541228,0.32512,N16105  ,False,False,False,,1127.76,1127.76,1645469817.876,1645469817.876
967,1645469819,normal,a0f7db,41.3059868246822,-79.12172490900213,38.94854131039508,257.7995312726192,0.32512,N16105  ,False,False,False,,1127.76,1127.76,1645469818.782,1645469818.782
968,1645469820,normal,a0f7db,41.3059868246822,-79.12172490900213,38.94854131039508,257.7995312726192,0.0,N16105  ,False,False,False,,1127.76,1127.76,1645469818.782,1645469819.682
969,1645469821,normal,a0f7db,41.30584716796875,-79.1226612437855,39.3473999197609,258.69006752597977,0.0,N16105  ,False,False,False,,1127.76,1127.76,1645469820.79,1645469820.791
970,1645469822,normal,a0f7db,41.305755615234375,-79.1231689453125,39.3473999197609,258.69006752597977,0.32512,N16105  ,False,False,False,,1127.76,1127.76,1645469821.921,1645469821.921
971,1645469823,normal,a0f7db,41.305755615234375,-79.12335205078125,39.3473999197609,258.69006752597977,0.32512,N16105  ,False,False,False,,1127.76,1127.76,1645469822.372,1645469822.709
972,1645469824,normal,a0f7db,41.30566095901748,-79.12378484552556,39.3473999197609,258.69006752597977,0.0,N16105  ,False,False,False,,1127.76,1127.76,1645469823.38,1645469823.723
973,1645469825,normal,a0f7db,41.30561828613281,-79.12420654296875,39.3473999197609,258.69006752597977,0.0,N16105  ,False,False,False,,1127.76,1127.76,1645469824.177,1645469824.177
974,1645469826,normal,a0f7db,41.30561828613281,-79.12420654296875,39.3473999197609,258.69006752597977,0.0,N16105  ,False,False,False,,1127.76,1127.76,1645469824.177,1645469825.652
975,1645469827,normal,a0f7db,41.3054747500662,-79.12509571422231,39.3473999197609,258.69006752597977,0.32512,N16105  ,False,False,False,,1127.76,1127.76,1645469826.124,1645469826.124
976,1645469828,normal,a0f7db,41.305389404296875,-79.1258544921875,39.3473999197609,258.69006752597977,0.32512,N16105  ,False,False,False,,1127.76,1127.76,1645469827.814,1645469827.814
977,1645469829,normal,a0f7db,41.30528854111493,-79.12634416060013,39.451515965154194,257.95742485711503,0.32512,N16105  ,False,False,False,,1127.76,1135.3799999999999,1645469828.822,1645469828.822
978,1645469830,normal,a0f7db,41.305206298828125,-79.12677001953125,39.451515965154194,257.95742485711503,0.0,N16105  ,False,False,False,,1127.76,1135.3799999999999,1645469829.83,1645469829.83
979,1645469831,normal,a0f7db,41.30514888440148,-79.1272804953835,39.451515965154194,257.95742485711503,0.0,N16105  ,False,False,False,,1127.76,1135.3799999999999,1645469830.735,1645469830.735
980,1645469832,normal,a0f7db,41.30506896972656,-79.127685546875,39.56204808538486,257.22875743509854,0.32512,N16105  ,False,False,False,,1127.76,1135.3799999999999,1645469831.752,1645469831.752
981,1645469833,normal,a0f7db,41.30506896972656,-79.127685546875,39.56204808538486,257.22875743509854,0.0,N16105  ,False,False,False,,1127.76,1135.3799999999999,1645469831.752,1645469832.188
982,1645469834,normal,a0f7db,41.30506896972656,-79.127685546875,39.56204808538486,257.22875743509854,0.0,N16105  ,False,False,False,,1127.76,1135.3799999999999,1645469831.752,1645469832.188
983,1645469835,normal,a0f7db,41.304840087890625,-79.12884521484375,39.56204808538486,257.22875743509854,0.0,N16105  ,False,False,False,,1127.76,1135.3799999999999,1645469834.235,1645469834.235
984,1645469836,normal,a0f7db,41.30479431152344,-79.12933349609375,39.56204808538486,257.22875743509854,0.97536,N16105  ,False,False,False,,1127.76,1135.3799999999999,1645469835.365,1645469835.539
985,1645469837,normal,a0f7db,41.30479431152344,-79.12933349609375,39.56204808538486,257.22875743509854,0.0,N16105  ,False,False,False,,1127.76,1135.3799999999999,1645469835.365,1645469836.709
986,1645469838,normal,a0f7db,41.30461120605469,-79.13043212890625,39.56204808538486,257.22875743509854,0.0,N16105  ,False,False,False,,1127.76,1135.3799999999999,1645469837.83,1645469837.83
987,1645469839,normal,a0f7db,41.30451965332031,-79.13067626953125,39.56204808538486,257.22875743509854,0.65024,N16105  ,False,False,False,,1127.76,1135.3799999999999,1645469838.28,1645469838.955
988,1645469840,normal,a0f7db,41.304450600834215,-79.1313379461115,39.56204808538486,257.22875743509854,0.65024,N16105  ,False,False,False,,1127.76,1135.3799999999999,1645469839.642,1645469839.642
989,1645469841,normal,a0f7db,41.304404048596396,-79.13152521306819,39.56204808538486,257.22875743509854,0.65024,N16105  ,False,False,False,,1127.76,1135.3799999999999,1645469840.094,1645469840.094
990,1645469842,normal,a0f7db,41.30431094412076,-79.13227428089488,39.3473999197609,258.69006752597977,0.97536,N16105  ,False,False,False,,1127.76,1135.3799999999999,1645469841.67,1645469841.782
991,1645469843,normal,a0f7db,41.30424499511719,-79.1324462890625,39.3473999197609,258.69006752597977,0.97536,N16105  ,False,False,False,,1127.76,1135.3799999999999,1645469842.232,1645469842.232
992,1645469844,normal,a0f7db,41.30415344238281,-79.1331787109375,39.3473999197609,258.69006752597977,0.32512,N16105  ,False,False,False,,1127.76,1135.3799999999999,1645469843.723,1645469843.723
993,1645469845,normal,a0f7db,41.304107666015625,-79.1334228515625,39.24975100813579,259.4264765814391,0.32512,N16105  ,False,False,False,,1127.76,1135.3799999999999,1645469844.29,1645469844.852
994,1645469846,normal,a0f7db,41.304031630693856,-79.13389726118606,39.24975100813579,259.4264765814391,0.32512,N16105  ,False,False,False,,1127.76,1135.3799999999999,1645469845.307,1645469845.307
995,1645469847,normal,a0f7db,41.30393852621822,-79.13458390669388,39.15861761112085,260.16643603579286,0.32512,N16105  ,False,False,False,,1127.76,1143.0,1645469846.766,1645469846.878
996,1645469848,normal,a0f7db,41.30393852621822,-79.13483359596944,39.07404531764767,260.90972307917764,0.32512,N16105  ,False,False,False,,1127.76,1143.0,1645469847.335,1645469847.672
